q,alpha_p,P,alpha_h,s,v,T,cos2alpha_h,lam_max,recovery_margin,N_half,lam1_re,lam1_im,lam2_re,lam2_im,eig_type,stable
0.010,0.005000020834,2.600043334e-05,0.004940378232,0.00988071627,0.002860190215,3.454566,0.9999511857,0.99917734,0.00082266,842.2246,0.99917734,0.00000000,0.52257225,0.00000000,real,1
0.011,0.00550002773,3.146063446e-05,0.005434421262,0.01086878903,0.003146208569,3.454567,0.9999409347,0.99900441,0.00099559,695.8704,0.99900441,0.00000000,0.52266014,0.00000000,real,1
0.012,0.006000036001,3.744089859e-05,0.005928465896,0.01185686234,0.0034322268,3.454568,0.9999297074,0.99881493,0.00118507,584.5549,0.99881493,0.00000000,0.52275647,0.00000000,real,1
0.013,0.006500045772,4.394123769e-05,0.006422512273,0.01284493624,0.003718244892,3.454570,0.9999175038,0.99860889,0.00139111,497.9242,0.99860889,0.00000000,0.52286127,0.00000000,real,1
0.014,0.007000057168,5.096166476e-05,0.006916560533,0.01383301077,0.004004262832,3.454571,0.9999043239,0.99838627,0.00161373,429.1849,0.99838627,0.00000000,0.52297456,0.00000000,real,1
0.015,0.007500070314,5.850219385e-05,0.007410610817,0.01482108598,0.004290280605,3.454573,0.9998901677,0.99814704,0.00185296,373.7293,0.99814704,0.00000000,0.52309635,0.00000000,real,1
0.016,0.008000085336,6.656284004e-05,0.007904663269,0.0158091619,0.004576298198,3.454574,0.9998750352,0.99789118,0.00210882,328.3426,0.99789118,0.00000000,0.52322668,0.00000000,real,1
0.017,0.008500102357,7.514361945e-05,0.008398718031,0.01679723859,0.004862315599,3.454576,0.9998589264,0.99761866,0.00238134,290.7272,0.99761866,0.00000000,0.52336557,0.00000000,real,1
0.018,0.009000121504,8.424454925e-05,0.008892775246,0.01778531607,0.005148332795,3.454578,0.9998418413,0.99732944,0.00267056,259.2047,0.99732944,0.00000000,0.52351305,0.00000000,real,1
0.019,0.009500142902,9.386564765e-05,0.009386835057,0.01877339441,0.005434349772,3.454580,0.9998237798,0.99702351,0.00297649,232.5273,0.99702351,0.00000000,0.52366915,0.00000000,real,1
0.020,0.01000016667,0.0001040069339,0.009880897607,0.01976147365,0.005720366519,3.454582,0.9998047421,0.99670083,0.00329917,209.7505,0.99670083,0.00000000,0.52383391,0.00000000,real,1
0.021,0.01050019295,0.0001146684283,0.01037496304,0.02074955383,0.006006383023,3.454584,0.999784728,0.99636135,0.00363865,190.1491,0.99636135,0.00000000,0.52400735,0.00000000,real,1
0.022,0.01100022185,0.0001258501521,0.0108690315,0.021737635,0.006292399272,3.454586,0.9997637376,0.99600506,0.00399494,173.1594,0.99600506,0.00000000,0.52418953,0.00000000,real,1
0.023,0.01150025349,0.0001375521277,0.01136310313,0.0227257172,0.006578415253,3.454588,0.9997417709,0.99563190,0.00436810,158.3370,0.99563190,0.00000000,0.52438047,0.00000000,real,1
0.024,0.01200028802,0.0001497743786,0.01185717808,0.02371380048,0.006864430954,3.454591,0.9997188278,0.99524183,0.00475817,145.3285,0.99524183,0.00000000,0.52458022,0.00000000,real,1
0.025,0.01250032554,0.0001625169292,0.01235125515,0.02470188224,0.007150445596,3.454593,0.9996949085,0.99483483,0.00516517,133.8494,0.99483483,0.00000000,0.52478882,0.00000000,real,1
0.026,0.01300036619,0.000175779805,0.01284533717,0.02568996784,0.007436460708,3.454596,0.9996700128,0.99441082,0.00558918,123.6691,0.99441082,0.00000000,0.52500631,0.00000000,real,1
0.027,0.0135004101,0.0001895630325,0.01333942293,0.02667805467,0.007722475502,3.454599,0.9996441407,0.99396978,0.00603022,114.5987,0.99396978,0.00000000,0.52523275,0.00000000,real,1
0.028,0.01400045737,0.0002038666393,0.01383351258,0.02766614275,0.008008489967,3.454602,0.9996172923,0.99351166,0.00648834,106.4826,0.99351166,0.00000000,0.52546817,0.00000000,real,1
0.029,0.01450050815,0.000218690654,0.01432760627,0.02865423215,0.008294504091,3.454605,0.9995894675,0.99303639,0.00696361,99.1914,0.99303639,0.00000000,0.52571264,0.00000000,real,1
0.030,0.01500056256,0.0002340351063,0.01482170413,0.02964232291,0.008580517862,3.454608,0.9995606663,0.99254392,0.00745608,92.6170,0.99254392,0.00000000,0.52596622,0.00000000,real,1
0.031,0.01550062071,0.0002499000269,0.01531580631,0.03063041507,0.008866531267,3.454611,0.9995308888,0.99203421,0.00796579,86.6684,0.99203421,0.00000000,0.52622894,0.00000000,real,1
0.032,0.01600068275,0.0002662854476,0.01580991296,0.03161850869,0.009152544295,3.454614,0.999500135,0.99150719,0.00849281,81.2687,0.99150719,0.00000000,0.52650088,0.00000000,real,1
0.033,0.01650074878,0.0002831914011,0.01630402421,0.0326066038,0.009438556933,3.454617,0.9994684047,0.99096280,0.00903720,76.3522,0.99096280,0.00000000,0.52678210,0.00000000,real,1
0.034,0.01700081894,0.0003006179213,0.01679814022,0.03359470045,0.00972456917,3.454621,0.9994356981,0.99040097,0.00959903,71.8630,0.99040097,0.00000000,0.52707265,0.00000000,real,1
0.035,0.01750089335,0.000318565043,0.01729226113,0.0345827987,0.01001058099,3.454625,0.999402015,0.98982165,0.01017835,67.7530,0.98982165,0.00000000,0.52737261,0.00000000,real,1
0.036,0.01800097214,0.0003370328022,0.01778638708,0.03557089858,0.01029659239,3.454628,0.9993673556,0.98922475,0.01077525,63.9805,0.98922475,0.00000000,0.52768204,0.00000000,real,1
0.037,0.01850105543,0.0003560212359,0.01828051822,0.03655900015,0.01058260335,3.454632,0.9993317198,0.98861022,0.01138978,60.5097,0.98861022,0.00000000,0.52800102,0.00000000,real,1
0.038,0.01900114335,0.000375530382,0.01877465468,0.03754710345,0.01086861386,3.454636,0.9992951075,0.98797798,0.01202202,57.3092,0.98797798,0.00000000,0.52832962,0.00000000,real,1
0.039,0.01950123602,0.0003955602796,0.01926879662,0.03853520853,0.01115462391,3.454640,0.9992575189,0.98732794,0.01267206,54.3515,0.98732794,0.00000000,0.52866792,0.00000000,real,1
0.040,0.02000133357,0.0004161109688,0.01976294417,0.03952331543,0.01144063349,3.454644,0.9992189538,0.98666003,0.01333997,51.6128,0.98666003,0.00000000,0.52901599,0.00000000,real,1
0.041,0.02050143613,0.0004371824908,0.02025709749,0.04051142421,0.01172664258,3.454648,0.9991794123,0.98597418,0.01402582,49.0720,0.98597418,0.00000000,0.52937393,0.00000000,real,1
0.042,0.02100154381,0.0004587748877,0.02075125672,0.0414995349,0.01201265118,3.454652,0.9991388943,0.98527028,0.01472972,46.7103,0.98527028,0.00000000,0.52974181,0.00000000,real,1
0.043,0.02150165674,0.0004808882029,0.02124542199,0.04248764755,0.01229865927,3.454657,0.9990973999,0.98454825,0.01545175,44.5113,0.98454825,0.00000000,0.53011974,0.00000000,real,1
0.044,0.02200177505,0.0005035224804,0.02173959346,0.04347576222,0.01258466684,3.454661,0.999054929,0.98380801,0.01619199,42.4605,0.98380801,0.00000000,0.53050778,0.00000000,real,1
0.045,0.02250189887,0.0005266777657,0.02223377127,0.04446387894,0.01287067387,3.454666,0.9990114817,0.98304944,0.01695056,40.5447,0.98304944,0.00000000,0.53090605,0.00000000,real,1
0.046,0.02300202832,0.0005503541052,0.02272795556,0.04545199777,0.01315668036,3.454671,0.9989670579,0.98227247,0.01772753,38.7524,0.98227247,0.00000000,0.53131466,0.00000000,real,1
0.047,0.02350216352,0.0005745515463,0.02322214648,0.04644011875,0.0134426863,3.454675,0.9989216577,0.98147697,0.01852303,37.0732,0.98147697,0.00000000,0.53173369,0.00000000,real,1
0.048,0.0240023046,0.0005992701374,0.02371634417,0.04742824193,0.01372869167,3.454680,0.9988752809,0.98066285,0.01933715,35.4977,0.98066285,0.00000000,0.53216325,0.00000000,real,1
0.049,0.02450245168,0.0006245099281,0.02421054878,0.04841636735,0.01401469646,3.454685,0.9988279277,0.97983000,0.02017000,34.0175,0.97983000,0.00000000,0.53260346,0.00000000,real,1
0.050,0.0250026049,0.0006502709688,0.02470476044,0.04940449506,0.01430070066,3.454691,0.9987795979,0.97897830,0.02102170,32.6251,0.97897830,0.00000000,0.53305442,0.00000000,real,1
0.051,0.02550276437,0.0006765533113,0.02519897931,0.0503926251,0.01458670426,3.454696,0.9987302917,0.97810764,0.02189236,31.3137,0.97810764,0.00000000,0.53351627,0.00000000,real,1
0.052,0.02600293022,0.0007033570081,0.02569320553,0.05138075753,0.01487270725,3.454701,0.9986800089,0.97721788,0.02278212,30.0771,0.97721788,0.00000000,0.53398911,0.00000000,real,1
0.053,0.02650310258,0.0007306821131,0.02618743924,0.05236889239,0.01515870961,3.454706,0.9986287496,0.97630892,0.02369108,28.9098,0.97630892,0.00000000,0.53447308,0.00000000,real,1
0.054,0.02700328158,0.0007585286808,0.02668168059,0.05335702973,0.01544471133,3.454712,0.9985765137,0.97538060,0.02461940,27.8065,0.97538060,0.00000000,0.53496832,0.00000000,real,1
0.055,0.02750346733,0.0007868967671,0.02717592971,0.05434516958,0.01573071241,3.454718,0.9985233013,0.97443281,0.02556719,26.7627,0.97443281,0.00000000,0.53547494,0.00000000,real,1
0.056,0.02800365996,0.000815786429,0.02767018677,0.05533331201,0.01601671282,3.454723,0.9984691123,0.97346540,0.02653460,25.7743,0.97346540,0.00000000,0.53599310,0.00000000,real,1
0.057,0.0285038596,0.0008451977242,0.02816445189,0.05632145705,0.01630271257,3.454729,0.9984139467,0.97247822,0.02752178,24.8372,0.97247822,0.00000000,0.53652294,0.00000000,real,1
0.058,0.02900406637,0.0008751307117,0.02865872523,0.05730960476,0.01658871163,3.454735,0.9983578046,0.97147112,0.02852888,23.9481,0.97147112,0.00000000,0.53706461,0.00000000,real,1
0.059,0.02950428041,0.0009055854515,0.02915300669,0.05829775471,0.01687470987,3.454741,0.9983006859,0.97044396,0.02955604,23.1037,0.97044396,0.00000000,0.53761827,0.00000000,real,1
0.060,0.03000450182,0.0009365620047,0.02964729689,0.05928590788,0.01716070753,3.454747,0.9982425906,0.96939655,0.03060345,22.3009,0.96939655,0.00000000,0.53818409,0.00000000,real,1
0.061,0.03050473075,0.0009680604333,0.03014159573,0.06027406385,0.01744670448,3.454754,0.9981835186,0.96832875,0.03167125,21.5373,0.96832875,0.00000000,0.53876222,0.00000000,real,1
0.062,0.03100496732,0.001000080801,0.03063590337,0.06126222266,0.0177327007,3.454760,0.99812347,0.96724037,0.03275963,20.8101,0.96724037,0.00000000,0.53935284,0.00000000,real,1
0.063,0.03150521164,0.001032623171,0.03113021994,0.06225038437,0.01801869618,3.454766,0.9980624448,0.96613124,0.03386876,20.1171,0.96613124,0.00000000,0.53995613,0.00000000,real,1
0.064,0.03200546385,0.001065687609,0.03162454559,0.06323854902,0.01830469091,3.454773,0.998000443,0.96500117,0.03499883,19.4562,0.96500117,0.00000000,0.54057230,0.00000000,real,1
0.065,0.03250572408,0.001099274181,0.03211888047,0.06422671665,0.01859068488,3.454779,0.9979374644,0.96384996,0.03615004,18.8255,0.96384996,0.00000000,0.54120151,0.00000000,real,1
0.066,0.03300599244,0.001133382956,0.03261322471,0.06521488732,0.01887667808,3.454786,0.9978735092,0.96267742,0.03732258,18.2230,0.96267742,0.00000000,0.54184397,0.00000000,real,1
0.067,0.03350626906,0.001168014,0.03310757847,0.06620306107,0.01916267049,3.454793,0.9978085774,0.96148333,0.03851667,17.6472,0.96148333,0.00000000,0.54249990,0.00000000,real,1
0.068,0.03400655408,0.001203167384,0.03360194188,0.06719123794,0.01944866211,3.454800,0.9977426688,0.96026750,0.03973250,17.0964,0.96026750,0.00000000,0.54316950,0.00000000,real,1
0.069,0.03450684761,0.001238843178,0.0340963151,0.06817941798,0.01973465293,3.454807,0.9976757835,0.95902968,0.04097032,16.5693,0.95902968,0.00000000,0.54385301,0.00000000,real,1
0.070,0.03500714978,0.001275041454,0.03459069826,0.06916760124,0.02002064293,3.454814,0.9976079215,0.95776965,0.04223035,16.0644,0.95776965,0.00000000,0.54455066,0.00000000,real,1
0.071,0.03550746071,0.001311762284,0.03508509151,0.07015578776,0.02030663209,3.454821,0.9975390827,0.95648716,0.04351284,15.5806,0.95648716,0.00000000,0.54526267,0.00000000,real,1
0.072,0.03600778054,0.001349005742,0.035579495,0.07114397759,0.02059262043,3.454829,0.9974692672,0.95518197,0.04481803,15.1166,0.95518197,0.00000000,0.54598932,0.00000000,real,1
0.073,0.03650810938,0.001386771904,0.03607390887,0.07213217078,0.02087860791,3.454836,0.997398475,0.95385382,0.04614618,14.6714,0.95385382,0.00000000,0.54673086,0.00000000,real,1
0.074,0.03700844737,0.001425060843,0.03656833326,0.07312036737,0.02116459453,3.454844,0.9973267059,0.95250243,0.04749757,14.2439,0.95250243,0.00000000,0.54748755,0.00000000,real,1
0.075,0.03750879463,0.001463872638,0.03706276832,0.0741085674,0.02145058028,3.454851,0.9972539601,0.95112753,0.04887247,13.8333,0.95112753,0.00000000,0.54825969,0.00000000,real,1
0.076,0.03800915128,0.001503207366,0.0375572142,0.07509677094,0.02173656515,3.454859,0.9971802375,0.94972881,0.05027119,13.4386,0.94972881,0.00000000,0.54904757,0.00000000,real,1
0.077,0.03850951745,0.001543065107,0.03805167103,0.07608497801,0.02202254913,3.454867,0.9971055381,0.94830598,0.05169402,13.0590,0.94830598,0.00000000,0.54985150,0.00000000,real,1
0.078,0.03900989327,0.00158344594,0.03854613896,0.07707318866,0.0223085322,3.454875,0.9970298618,0.94685872,0.05314128,12.6938,0.94685872,0.00000000,0.55067177,0.00000000,real,1
0.079,0.03951027886,0.001624349946,0.03904061814,0.07806140295,0.02259451436,3.454883,0.9969532087,0.94538670,0.05461330,12.3421,0.94538670,0.00000000,0.55150874,0.00000000,real,1
0.080,0.04001067435,0.001665777208,0.03953510871,0.07904962092,0.0228804956,3.454891,0.9968755787,0.94388957,0.05611043,12.0034,0.94388957,0.00000000,0.55236274,0.00000000,real,1
0.081,0.04051107987,0.001707727809,0.04002961082,0.08003784261,0.0231664759,3.454899,0.9967969719,0.94236696,0.05763304,11.6769,0.94236696,0.00000000,0.55323416,0.00000000,real,1
0.082,0.04101149553,0.001750201833,0.04052412461,0.08102606807,0.02345245525,3.454908,0.9967173881,0.94081852,0.05918148,11.3621,0.94081852,0.00000000,0.55412334,0.00000000,real,1
0.083,0.04151192147,0.001793199365,0.04101865022,0.08201429735,0.02373843365,3.454916,0.9966368275,0.93924385,0.06075615,11.0585,0.93924385,0.00000000,0.55503068,0.00000000,real,1
0.084,0.04201235781,0.001836720492,0.04151318781,0.08300253049,0.02402441109,3.454925,0.99655529,0.93764253,0.06235747,10.7654,0.93764253,0.00000000,0.55595660,0.00000000,real,1
0.085,0.04251280468,0.001880765301,0.0420077375,0.08399076753,0.02431038754,3.454933,0.9964727755,0.93601414,0.06398586,10.4824,0.93601414,0.00000000,0.55690153,0.00000000,real,1
0.086,0.0430132622,0.001925333881,0.04250229946,0.08497900853,0.02459636301,3.454942,0.9963892841,0.93435823,0.06564177,10.2090,0.93435823,0.00000000,0.55786593,0.00000000,real,1
0.087,0.04351373051,0.001970426321,0.04299687382,0.08596725353,0.02488233749,3.454951,0.9963048157,0.93267433,0.06732567,9.9448,0.93267433,0.00000000,0.55885022,0.00000000,real,1
0.088,0.04401420972,0.002016042711,0.04349146073,0.08695550258,0.02516831095,3.454960,0.9962193703,0.93096195,0.06903805,9.6894,0.93096195,0.00000000,0.55985495,0.00000000,real,1
0.089,0.04451469996,0.002062183145,0.04398606033,0.08794375571,0.0254542834,3.454969,0.9961329479,0.92922057,0.07077943,9.4422,0.92922057,0.00000000,0.56088061,0.00000000,real,1
0.090,0.04501520136,0.002108847714,0.04448067277,0.08893201299,0.02574025482,3.454978,0.9960455485,0.92744967,0.07255033,9.2031,0.92744967,0.00000000,0.56192774,0.00000000,real,1
0.091,0.04551571404,0.002156036512,0.04497529819,0.08992027444,0.0260262252,3.454987,0.9959571721,0.92564865,0.07435135,8.9716,0.92564865,0.00000000,0.56299691,0.00000000,real,1
0.092,0.04601623813,0.002203749634,0.04546993674,0.09090854012,0.02631219453,3.454997,0.9958678187,0.92381694,0.07618306,8.7473,0.92381694,0.00000000,0.56408872,0.00000000,real,1
0.093,0.04651677376,0.002251987176,0.04596458856,0.09189681008,0.02659816281,3.455006,0.9957774881,0.92195389,0.07804611,8.5300,0.92195389,0.00000000,0.56520381,0.00000000,real,1
0.094,0.04701732106,0.002300749236,0.0464592538,0.09288508435,0.02688413002,3.455015,0.9956861806,0.92005885,0.07994115,8.3193,0.92005885,0.00000000,0.56634283,0.00000000,real,1
0.095,0.04751788014,0.00235003591,0.0469539326,0.09387336299,0.02717009615,3.455025,0.9955938959,0.91813114,0.08186886,8.1150,0.91813114,0.00000000,0.56750646,0.00000000,real,1
0.096,0.04801845114,0.002399847299,0.0474486251,0.09486164605,0.02745606119,3.455035,0.9955006341,0.91617000,0.08383000,7.9169,0.91617000,0.00000000,0.56869547,0.00000000,real,1
0.097,0.04851903418,0.002450183503,0.04794333146,0.09584993355,0.02774202513,3.455045,0.9954063951,0.91417467,0.08582533,7.7245,0.91417467,0.00000000,0.56991062,0.00000000,real,1
0.098,0.04901962938,0.002501044622,0.04843805181,0.09683822556,0.02802798797,3.455054,0.995311179,0.91214431,0.08785569,7.5377,0.91214431,0.00000000,0.57115273,0.00000000,real,1
0.099,0.04952023688,0.002552430759,0.04893278631,0.09782652212,0.02831394969,3.455064,0.9952149858,0.91007807,0.08992193,7.3563,0.91007807,0.00000000,0.57242268,0.00000000,real,1
0.100,0.05002085681,0.002604342019,0.04942753509,0.09881482327,0.02859991029,3.455075,0.9951178154,0.90797501,0.09202499,7.1800,0.90797501,0.00000000,0.57372139,0.00000000,real,1
0.101,0.05052148927,0.002656778504,0.0499222983,0.09980312906,0.02888586975,3.455085,0.9950196677,0.90583416,0.09416584,7.0086,0.90583416,0.00000000,0.57504984,0.00000000,real,1
0.102,0.05102213442,0.002709740321,0.05041707609,0.1007914395,0.02917182806,3.455095,0.9949205429,0.90365449,0.09634551,6.8420,0.90365449,0.00000000,0.57640905,0.00000000,real,1
0.103,0.05152279236,0.002763227577,0.0509118686,0.1017797547,0.02945778522,3.455105,0.9948204408,0.90143488,0.09856512,6.6798,0.90143488,0.00000000,0.57780016,0.00000000,real,1
0.104,0.05202346323,0.002817240379,0.05140667597,0.1027680747,0.02974374122,3.455116,0.9947193614,0.89917415,0.10082585,6.5220,0.89917415,0.00000000,0.57922434,0.00000000,real,1
0.105,0.05252414715,0.002871778835,0.05190149835,0.1037563995,0.03002969604,3.455127,0.9946173048,0.89687103,0.10312897,6.3683,0.89687103,0.00000000,0.58068286,0.00000000,real,1
0.106,0.05302484425,0.002926843057,0.05239633589,0.1047447292,0.03031564967,3.455137,0.9945142709,0.89452420,0.10547580,6.2186,0.89452420,0.00000000,0.58217706,0.00000000,real,1
0.107,0.05352555466,0.002982433154,0.05289118873,0.1057330637,0.03060160212,3.455148,0.9944102596,0.89213218,0.10786782,6.0727,0.89213218,0.00000000,0.58370838,0.00000000,real,1
0.108,0.0540262785,0.00303854924,0.05338605702,0.1067214032,0.03088755336,3.455159,0.994305271,0.88969343,0.11030657,5.9305,0.88969343,0.00000000,0.58527840,0.00000000,real,1
0.109,0.0545270159,0.003095191426,0.0538809409,0.1077097478,0.0311735034,3.455170,0.9941993051,0.88720629,0.11279371,5.7918,0.88720629,0.00000000,0.58688876,0.00000000,real,1
0.110,0.05502776698,0.003152359827,0.05437584051,0.1086980973,0.03145945221,3.455181,0.9940923618,0.88466893,0.11533107,5.6564,0.88466893,0.00000000,0.58854130,0.00000000,real,1
0.111,0.05552853188,0.003210054558,0.05487075601,0.109686452,0.0317453998,3.455192,0.9939844411,0.88207943,0.11792057,5.5243,0.88207943,0.00000000,0.59023795,0.00000000,real,1
0.112,0.05602931072,0.003268275736,0.05536568753,0.1106748118,0.03203134615,3.455203,0.993875543,0.87943567,0.12056433,5.3952,0.87943567,0.00000000,0.59198080,0.00000000,real,1
0.113,0.05653010362,0.003327023479,0.05586063522,0.1116631768,0.03231729125,3.455215,0.9937656675,0.87673535,0.12326465,5.2691,0.87673535,0.00000000,0.59377217,0.00000000,real,1
0.114,0.05703091071,0.003386297904,0.05635559923,0.112651547,0.03260323509,3.455226,0.9936548145,0.87397598,0.12602402,5.1458,0.87397598,0.00000000,0.59561457,0.00000000,real,1
0.115,0.05753173213,0.003446099131,0.0568505797,0.1136399225,0.03288917768,3.455238,0.993542984,0.87115481,0.12884519,5.0252,0.87115481,0.00000000,0.59751073,0.00000000,real,1
0.116,0.05803256799,0.00350642728,0.05734557677,0.1146283033,0.03317511899,3.455249,0.993430176,0.86826887,0.13173113,4.9071,0.86826887,0.00000000,0.59946363,0.00000000,real,1
0.117,0.05853341843,0.003567282475,0.0578405906,0.1156166894,0.03346105901,3.455261,0.9933163906,0.86531484,0.13468516,4.7915,0.86531484,0.00000000,0.60147657,0.00000000,real,1
0.118,0.05903428356,0.003628664836,0.05833562133,0.116605081,0.03374699775,3.455273,0.9932016275,0.86228910,0.13771090,4.6782,0.86228910,0.00000000,0.60355320,0.00000000,real,1
0.119,0.05953516353,0.003690574489,0.05883066909,0.117593478,0.03403293519,3.455285,0.993085887,0.85918760,0.14081240,4.5671,0.85918760,0.00000000,0.60569755,0.00000000,real,1
0.120,0.06003605845,0.003753011559,0.05932573405,0.1185818805,0.03431887133,3.455297,0.9929691688,0.85600584,0.14399416,4.4582,0.85600584,0.00000000,0.60791413,0.00000000,real,1
0.121,0.06053696844,0.00381597617,0.05982081634,0.1195702886,0.03460480615,3.455309,0.992851473,0.85273879,0.14726121,4.3512,0.85273879,0.00000000,0.61020797,0.00000000,real,1
0.122,0.06103789365,0.003879468451,0.06031591611,0.1205587022,0.03489073964,3.455321,0.9927327997,0.84938078,0.15061922,4.2460,0.84938078,0.00000000,0.61258474,0.00000000,real,1
0.123,0.0615388342,0.00394348853,0.0608110335,0.1215471215,0.0351766718,3.455333,0.9926131486,0.84592537,0.15407463,4.1425,0.84592537,0.00000000,0.61505090,0.00000000,real,1
0.124,0.0620397902,0.004008036536,0.06130616866,0.1225355464,0.03546260263,3.455346,0.9924925199,0.84236526,0.15763474,4.0407,0.84236526,0.00000000,0.61761372,0.00000000,real,1
0.125,0.0625407618,0.004073112599,0.06180132174,0.1235239771,0.0357485321,3.455358,0.9923709135,0.83869201,0.16130799,3.9403,0.83869201,0.00000000,0.62028167,0.00000000,real,1
0.126,0.06304174911,0.004138716851,0.06229649287,0.1245124135,0.03603446022,3.455371,0.9922483294,0.83489595,0.16510405,3.8413,0.83489595,0.00000000,0.62306439,0.00000000,real,1
0.127,0.06354275227,0.004204849425,0.06279168221,0.1255008558,0.03632038698,3.455383,0.9921247676,0.83096566,0.16903434,3.7434,0.83096566,0.00000000,0.62597330,0.00000000,real,1
0.128,0.06404377139,0.004271510454,0.06328688991,0.1264893039,0.03660631236,3.455396,0.992000228,0.82688770,0.17311230,3.6465,0.82688770,0.00000000,0.62902188,0.00000000,real,1
0.129,0.06454480662,0.004338700073,0.0637821161,0.1274777579,0.03689223636,3.455409,0.9918747106,0.82264603,0.17735397,3.5504,0.82264603,0.00000000,0.63222617,0.00000000,real,1
0.130,0.06504585807,0.004406418418,0.06427736093,0.1284662178,0.03717815898,3.455422,0.9917482154,0.81822119,0.18177881,3.4550,0.81822119,0.00000000,0.63560559,0.00000000,real,1
0.131,0.06554692588,0.004474665626,0.06477262455,0.1294546837,0.0374640802,3.455435,0.9916207424,0.81358919,0.18641081,3.3599,0.81358919,0.00000000,0.63918416,0.00000000,real,1
0.132,0.06604801017,0.004543441834,0.0652679071,0.1304431557,0.03775000002,3.455448,0.9914922916,0.80871998,0.19128002,3.2649,0.80871998,0.00000000,0.64299193,0.00000000,real,1
0.133,0.06654911107,0.004612747183,0.06576320873,0.1314316337,0.03803591843,3.455461,0.9913628628,0.80357485,0.19642515,3.1696,0.80357485,0.00000000,0.64706760,0.00000000,real,1
0.134,0.0670502287,0.004682581812,0.06625852958,0.1324201179,0.03832183542,3.455474,0.9912324562,0.79810259,0.20189741,3.0736,0.79810259,0.00000000,0.65146240,0.00000000,real,1
0.135,0.06755136319,0.004752945863,0.06675386977,0.1334086081,0.03860775096,3.455488,0.9911010716,0.79223303,0.20776697,2.9762,0.79223303,0.00000000,0.65624647,0.00000000,real,1
0.136,0.06805251468,0.004823839477,0.06724922951,0.1343971046,0.03889366509,3.455501,0.9909687091,0.78586528,0.21413472,2.8765,0.78586528,0.00000000,0.66152074,0.00000000,real,1
0.137,0.06855368328,0.0048952628,0.06774460891,0.1353856074,0.03917957779,3.455515,0.9908353687,0.77884478,0.22115522,2.7732,0.77884478,0.00000000,0.66743974,0.00000000,real,1
0.138,0.06905486914,0.004967215974,0.06824000812,0.1363741165,0.03946548903,3.455528,0.9907010502,0.77091173,0.22908827,2.6641,0.77091173,0.00000000,0.67426328,0.00000000,real,1
0.139,0.06955607236,0.005039699147,0.06873542728,0.1373626319,0.03975139882,3.455542,0.9905657537,0.76156089,0.23843911,2.5447,0.76156089,0.00000000,0.68249662,0.00000000,real,1
0.140,0.07005729309,0.005112712465,0.06923086654,0.1383511537,0.04003730715,3.455556,0.9904294791,0.74949213,0.25050787,2.4038,0.74949213,0.00000000,0.69343986,0.00000000,real,1
0.141,0.07055853144,0.005186256075,0.06972632605,0.139339682,0.04032321402,3.455570,0.9902922265,0.72270683,0.27729317,2.1344,0.72270683,0.00000000,0.71909165,0.00000000,real,1
0.142,0.07105978756,0.005260330127,0.07022180594,0.1403282167,0.04060911941,3.455584,0.9901539958,0.72087232,0.27912768,2.1178,0.72032848,0.02799603,0.72032848,-0.02799603,complex,1
0.143,0.07156106156,0.005334934771,0.07071730637,0.1413167579,0.04089502331,3.455598,0.990014787,0.72084748,0.27915252,2.1176,0.71975372,0.03969472,0.71975372,-0.03969472,complex,1
0.144,0.07206235357,0.005410070158,0.07121282749,0.1423053057,0.04118092573,3.455612,0.9898746,0.72082247,0.27917753,2.1174,0.71917497,0.04870720,0.71917497,-0.04870720,complex,1
0.145,0.07256366372,0.005485736441,0.07170836943,0.1432938602,0.04146682665,3.455626,0.9897334348,0.72079727,0.27920273,2.1171,0.71859222,0.05633757,0.71859222,-0.05633757,complex,1
0.146,0.07306499214,0.005561933772,0.07220393234,0.1442824212,0.04175272608,3.455641,0.9895912915,0.72077187,0.27922813,2.1169,0.71800546,0.06308912,0.71800546,-0.06308912,complex,1
0.147,0.07356633896,0.005638662308,0.07269951638,0.145270989,0.04203862399,3.455655,0.9894481699,0.72074630,0.27925370,2.1167,0.71741472,0.06921952,0.71741472,-0.06921952,complex,1
0.148,0.0740677043,0.005715922202,0.07319512168,0.1462595635,0.04232452039,3.455670,0.98930407,0.72072054,0.27927946,2.1165,0.71681999,0.07488129,0.71681999,-0.07488129,complex,1
0.149,0.0745690883,0.005793713613,0.07369074839,0.1472481447,0.04261041527,3.455684,0.9891589919,0.72069460,0.27930540,2.1162,0.71622125,0.08017370,0.71622125,-0.08017370,complex,1
0.150,0.07507049108,0.005872036697,0.07418639666,0.1482367328,0.04289630862,3.455699,0.9890129355,0.72066846,0.27933154,2.1160,0.71561852,0.08516550,0.71561852,-0.08516550,complex,1
0.151,0.07557191276,0.005950891614,0.07468206664,0.1492253278,0.04318220044,3.455714,0.9888659008,0.72064214,0.27935786,2.1158,0.71501179,0.08990675,0.71501179,-0.08990675,complex,1
0.152,0.07607335349,0.006030278525,0.07517775846,0.1502139297,0.04346809072,3.455729,0.9887178877,0.72061563,0.27938437,2.1155,0.71440108,0.09443508,0.71440108,-0.09443508,complex,1
0.153,0.07657481338,0.006110197589,0.07567347228,0.1512025385,0.04375397945,3.455744,0.9885688962,0.72058893,0.27941107,2.1153,0.71378637,0.09877970,0.71378637,-0.09877970,complex,1
